1	0
2	0
3	1
4	2
5	3
6	3
7	4
8	5
9	5
10	0
11	1
12	6
13	1
14	0
15	1
16	2
17	7
18	7
19	8
20	8
21	9
22	9
23	0
24	10
25	10
26	11
27	11
28	7
29	7
30	12
31	12
32	13
33	13
34	0
35	14
36	15
37	3
38	16
39	16
40	17
41	17
42	2
43	18
44	18
45	1
46	1
47	1
48	1
49	19
50	19
51	20
52	20
53	21
54	21
55	1
56	22
57	22
58	23
59	23
60	24
61	24
62	12
63	0
64	5
65	5
66	0
67	10
68	5
69	5
70	25
71	25
72	22
73	18
74	18
75	26
76	26
77	27
78	27
79	28
80	28
81	29
82	29
83	0
84	7
85	7
86	30
87	30
88	23
89	23
90	31
91	31
92	5
93	5
94	1
95	1
96	19
97	19
98	32
99	32
100	15
101	15
102	1
103	5
104	5
105	33
106	33
107	3
108	3
109	17
110	1
111	1
112	34
113	34
114	2
115	2
116	0
117	35
118	35
119	32
120	18
121	18
122	36
123	36
124	0
125	0
126	0
127	0
128	2
129	37
130	37
131	1
132	1
133	18
134	2
135	38
136	39
137	38
138	38
139	2
140	3
141	3
142	16
143	16
144	28
145	40
146	40
147	2
148	41
149	41
150	18
151	3
152	3
153	32
154	5
155	41
156	41
157	42
158	43
159	38
160	42
161	44
162	44
163	45
164	45
165	0
166	29
167	29
168	1
169	29
170	29
171	3
172	3
173	46
174	46
175	46
176	47
177	48
178	48
179	49
180	49
181	5
182	50
183	50
184	32
185	6
186	51
187	51
188	29
189	0
190	32
191	32
192	8
193	7
194	11
195	11
196	24
197	52
198	52
199	44
200	44
201	53
202	5
203	54
204	54
205	27
206	19
207	55
208	55
209	56
210	56
211	1
212	57
213	2
214	35
215	35
216	43
217	5
218	58
219	58
220	39
221	39
222	11
223	11
224	59
225	59
226	40
227	40
228	2
229	19
230	5
231	5
232	60
233	3
234	3
235	61
236	61
237	38
238	18
239	42
240	62
241	63
242	5
243	27
244	19
245	19
246	0
247	2
248	62
249	1
250	7
251	5
252	23
253	23
254	64
255	64
256	5
257	41
258	41
259	29
260	5
261	56
262	56
263	65
264	11
265	66
266	66
267	65
268	65
269	2
270	26
271	25
272	1
273	40
274	40
275	10
276	3
277	3
278	38
279	38
280	11
281	38
